protein1	protein2	ColorSim	ECC	Pfam	SeqSim	AnnSim
Q9UPT9	P35558	0.2254901961	1	0	0.0220910624	0.343
Q9UPT9	Q9VA09	0.1313785063	0	0	0.0204437401	0.296
O14370	P38891	0.6890756303	4	1	0.4868913858	0.8
O14370	P29466	0.2206790123	0	0	0.0334149327	0.334
O14370	P23542	0.3711538462	3	0	0.0300842359	0.513
P50993	Q6PIE5	0.4347826087	4	1	0.9935960591	0.606
P50993	P24797	0.9090909091	4	1	0.9485771343	0.952
P50993	P13637	0.6516987477	4	1	0.8912558831	0.787
P50993	P05023	0.9	4	1	0.8829945464	0.947
P50993	Q8VDN2	0.5952493687	4	1	0.8702702703	0.762
P50993	Q13733	0.9	4	1	0.797086891	0.917
P50993	P13607	0.3682360464	4	1	0.7524201355	0.542
P50993	P13586	0.6422619048	3	1	0.1944728762	0.766
P50993	O59868	0.5943452381	3	1	0.1948470209	0.729
P50993	P98194	0.5027605249	3	1	0.1882911392	0.662
P50993	P57709	0.4846608299	3	1	0.1804648733	0.645
P50993	Q5R5K5	0.4846608299	3	1	0.1850092373	0.645
P50993	Q64566	0.4846608299	3	1	0.1849116328	0.645
P50993	Q92105	0.6092436975	3	1	0.1774111675	0.684
P50993	Q80XR2	0.4846608299	3	1	0.1855670103	0.645
P50993	Q03669	0.6913582251	3	1	0.1734817324	0.822
P50993	O55143	0.6238582251	3	1	0.1712146824	0.728
P50993	P16615	0.591391981	3	1	0.1711798839	0.726
P50993	Q64578	0.6152215432	3	1	0.1732723577	0.704
P50993	Q8R429	0.6152215432	3	1	0.1732283465	0.706
P50993	P13585	0.6767436975	3	1	0.1684714178	0.738
P50993	P13587	0.6285714286	3	1	0.1425556858	0.696
P50993	Q9R0K7	0.2020000678	3	1	0.1184677229	0.378
P50993	P38929	0.5657142857	3	1	0.0744756069	0.701
P50993	Q64430	0.1528623567	3	0.4	0.0311111111	0.274
P50993	Q04656	0.1649187044	3	0.4	0.0303346023	0.299
P50993	Q12674	0.2386724387	3	0	0.0210879285	0.389
P50993	Q12675	0.3258448033	3	0	0.0161924766	0.51
P50993	O35975	0.0635294118	0	0	0.0210404624	0.153
P50993	Q8IRW8	0.0782154577	0	0	0.0090893845	0.279
P50993	Q96T60	0.0785714286	2	0	0.017232376	0.258
Q29562	Q9XS65	1	4	1	0.9189944134	1
Q29562	O97921	1	4	1	0.8308525034	1
Q29562	O02853	1	4	1	0.8167613636	1
Q29562	P41222	1	4	1	0.7546419098	1
Q29562	Q9XSM0	1	4	1	0.7710344828	1
Q29562	O09114	1	4	1	0.7153284672	1
Q29562	Q29095	1	4	1	0.7132867133	1
Q29562	P22057	1	4	1	0.7048951049	1
Q99798	P19414	0.5064935065	4	1	0.6610223642	0.645
Q99798	Q07093	0.1909340659	2	0	0.0183946488	0.305
Q99798	Q9V3I5	0.1364635365	0	0	0.0144458931	0.22
Q99798	Q9JJY3	0.2388278388	0	0	0.0177622378	0.354
Q8TDX6	Q8BJQ9	0.2857142857	4	1	0.9144736842	0.444
Q8TDX6	Q9NYU2	0.0857142857	3	0	0.0144370535	0.151
Q8TDX6	Q8NCL4	0.0083987441	3	0	0.0246433204	0.078
Q8TDX6	Q10287	0.1962296282	3	0	0.0123357827	0.409
Q9R0H0	Q9EPL9	0.8333333333	4	0.6666667	0.1947029349	0.909
Q9R0H0	Q12043	0.6143162393	0	0	0.0211948791	0.647
Q9R0H0	Q06218	0.0666666667	0	0	0.0224006423	0.268
Q9R0H0	Q294B9	0.1864357864	0	0	0.0205847953	0.307
Q9R0H0	P15436	0.2510822511	0	0	0.0143956044	0.343
Q01279	P00533	0.3043478261	4	1	0.9148471616	0.467
Q01279	P04626	0.2413189976	4	0.75	0.4762007323	0.428
Q01279	P21860	0.2807398334	4	1	0.396928902	0.451
Q01279	Q8CBF3	0.2857142857	4	0.16666667	0.1001189061	0.489
Q01279	Q05397	0.1951841254	3	0.25	0.0925414365	0.437
Q01279	P00519	0.2433303862	3	0.16666667	0.0893841912	0.556
Q01279	P43405	0.1808318527	3	0.25	0.1120378093	0.36
Q01279	P48025	0.2097649492	3	0.25	0.1118861607	0.394
Q01279	P16056	0.2407407407	4	0.16666667	0.0789526687	0.558
Q01279	P42683	0.2428782559	3	0.2	0.1026410564	0.467
Q01279	Q62120	0.3369171221	3	0.25	0.0741548528	0.594
Q01279	Q61851	0.2724080379	4	0.2	0.0903743316	0.551
Q01279	Q95KR7	0.2428782559	3	0.2	0.100210021	0.467
Q01279	P06213	0.2397859951	4	0.75	0.0674202665	0.44
Q01279	P06240	0.2408448439	3	0.2	0.0972388956	0.536
Q01279	Q5PXS1	0.2428782559	3	0.2	0.096009601	0.467
Q01279	P07948	0.4829597892	3	0.2	0.096309631	0.645
Q01279	P06239	0.219838785	3	0.2	0.0954381753	0.392
Q01279	P12931	0.5156731379	3	0.2	0.0944180523	0.662
Q01279	Q8UUY9	0.2626262626	4	0.33333334	0.0976514215	0.446
Q01279	P08069	0.3629383098	4	0.75	0.0652488127	0.528
Q01279	Q1LWJ4	0.2626262626	4	0.75	0.062426152	0.427
Q01279	P04629	0.4057532295	4	0.25	0.0806664903	0.568
Q01279	P09208	0.1751931976	4	1	0.0506085842	0.314
Q01279	Q6Q2A2	0.4642686789	4	0.33333334	0.1000974976	0.716
Q01279	Q61006	0.2055396917	4	0.2	0.0764794383	0.53
Q01279	Q01887	0.1428571429	4	0.25	0.088147707	0.317
Q01279	P17948	0.3456867454	4	0.2	0.0586095392	0.563
Q01279	Q5PQU0	0.2715686967	4	0.2	0.0581745236	0.467
Q01279	Q6QJB7	0.2858092202	4	0.25	0.0646861524	0.516
Q01279	Q8C8K9	0.2858092202	4	0.25	0.0644305019	0.516
Q01279	Q6QJB8	0.2858092202	4	0.25	0.0642069957	0.516
Q01279	Q7TS86	0.2858092202	4	0.25	0.0641762452	0.516
Q01279	Q3ULJ6	0.2858092202	4	0.25	0.0715620828	0.516
Q01279	Q63116	0.2384522892	4	0.25	0.0636820685	0.445
Q01279	P05532	0.2858092202	4	0.25	0.062994012	0.516
Q01279	O43283	0.4021043028	2	0	0.0620741862	0.659
Q01279	Q16584	0.2926381581	2	0	0.0683473389	0.635
Q01279	Q5R8X7	0.4021043028	2	0	0.061049445	0.659
Q01279	Q12852	0.4645833333	2	0	0.063973064	0.681
Q01279	P53668	0.1569256669	3	0	0.0542306618	0.356
Q01279	Q10407	0.2175925926	2	0	0.0379310345	0.432
Q01279	A1ZBL7	0.115786333	2	0	0.0427846817	0.289
Q01279	Q9V8V8	0.115786333	2	0	0.045076469	0.289
Q01279	A1ZBL5	0.115786333	2	0	0.0457080372	0.289
Q01279	Q8IR79	0.1745743713	3	0.2	0.0370485265	0.366
Q01279	A1ZBL9	0.115786333	2	0	0.0396096168	0.289
Q01279	A1ZBM0	0.115786333	2	0	0.0404964712	0.289
Q01279	A1ZBM1	0.115786333	2	0	0.0418405834	0.289
Q01279	Q0E915	0.115786333	2	0	0.0411502231	0.289
Q01279	P17252	0.1979583798	2	0	0.0413398693	0.451
Q01279	Q8CIP4	0.3238095238	3	0	0.0416575192	0.464
Q01279	Q03497	0.2431458389	3	0	0.038168144	0.487
Q01279	Q96L34	0.2533110119	3	0	0.0419390582	0.422
Q01279	Q9V3I5	0.1845904034	3	0	0.0331562638	0.458
Q01279	Q8NEV4	0.2857142857	3	0	0.0268177697	0.443
Q01279	Q54QQ1	0.1467927865	3	0	0.0419767112	0.392
Q01279	Q00534	0.2202506726	2	0	0.0502550153	0.423
Q01279	P06245	0.255952381	2	0	0.0470945946	0.395
Q01279	Q02111	0.2850404699	2	0	0.0380504834	0.571
Q01279	P17157	0.2083406111	2	0	0.0498794351	0.434
Q01279	Q55D99	0.2276975918	3	0	0.0468153896	0.432
Q01279	Q8K3H5	0.2857142857	3	0	0.0258789416	0.443
Q01279	P00517	0.1428571429	2	0	0.0477970628	0.272
Q01279	P24941	0.3165629375	2	0	0.0491848769	0.554
Q01279	P00546	0.1847060325	2	0	0.048714385	0.39
Q01279	Q9Y884	0.2797619048	2	0	0.0471659919	0.48
Q01279	P06493	0.2434115255	2	0	0.0480027787	0.52
Q01279	P48734	0.2608568575	2	0	0.048019458	0.504
Q01279	P34099	0.2601422446	2	0	0.0454635434	0.475
Q01279	P49615	0.0530248932	2	0	0.0478927203	0.186
Q01279	Q02399	0.1124370672	2	0	0.0478927203	0.37
Q01279	Q00535	0.105823122	2	0	0.0478760446	0.376
Q01279	P48609	0.1948051948	2	0	0.0476885645	0.442
Q01279	P51166	0.2295330243	2	0	0.0472144847	0.481
Q01279	Q03114	0.0999440597	2	0	0.0470916057	0.341
Q01279	P36583	0.3888038039	2	0	0.0323522374	0.568
Q01279	P04551	0.229643537	2	0	0.046201873	0.467
Q01279	P41743	0.2258547009	2	0	0.0377020785	0.419
Q01279	P68181	0.2413989072	2	0	0.0433244326	0.37
Q01279	P06782	0.251030085	3	0	0.0373263889	0.47
Q01279	P11802	0.3893529112	2	0	0.0450773558	0.578
Q01279	P22694	0.5017336059	2	0	0.0429238985	0.618
Q01279	P40376	0.2837120509	2	0	0.0404086612	0.479
Q01279	P06242	0.2539198455	2	0	0.0442380461	0.527
Q01279	Q03957	0.2295943466	2	0	0.0385753094	0.486
Q01279	P05132	0.3463212742	2	0	0.0428046745	0.546
Q01279	P36582	0.4693164308	2	0	0.0314535732	0.601
Q01279	O14098	0.1710864354	2	0	0.0389642417	0.484
Q01279	Q05513	0.4352870476	2	0	0.0354488279	0.565
Q01279	P08018	0.2832948394	2	0	0.0348712143	0.555
Q01279	P53355	0.4739737169	3	0	0.0218475931	0.593
Q01279	Q19266	0.1604433761	2	0	0.0347901093	0.328
Q01279	P51841	0.4004201681	0	0	0.026350135	0.557
Q01279	Q9H1R3	0.1819304641	2	0	0.0357699221	0.358
Q01279	P28482	0.2253363632	2	0	0.0394256757	0.37
Q01279	P47811	0.2478265655	2	0	0.0383249581	0.426
Q01279	P53599	0.307093365	2	0	0.0212217448	0.522
Q01279	P50750	0.2406287742	2	0	0.0374261326	0.558
Q01279	P06784	0.1666666667	2	0	0.0351771287	0.441
Q01279	Q9WV60	0.291709411	2	0	0.0365409623	0.5
Q01279	P49841	0.4751055323	2	0	0.0365290868	0.631
Q01279	P21965	0.2100840336	3	0	0.0370321733	0.431
Q01279	P24583	0.5097792797	2	0	0.024516696	0.624
Q01279	O17432	0.2391456163	2	0	0.0344026187	0.508
Q01279	Q04771	0.1512241897	2	0	0.0295398773	0.3
Q01279	Q28041	0.1549050505	2	0	0.0295217658	0.312
Q01279	P16892	0.1759684143	2	0	0.0351648352	0.506
Q01279	P34947	0.5372777282	2	0	0.0296976882	0.649
Q01279	Q02156	0.5478817981	2	0	0.0275715801	0.711
Q01279	O00238	0.2246443015	2	0	0.0308533252	0.396
Q01279	P54644	0.2638888889	3	0	0.0321926489	0.407
Q01279	P15442	0.2452625987	3	0	0.0182084631	0.494
Q01279	Q9P2K8	0.1840381089	3	0	0.018416682	0.507
Q01279	P25098	0.3661894718	2	0	0.0265405405	0.538
Q01279	P29122	0.1958828167	0	0	0.023366529	0.46
Q01279	P36897	0.2354594941	2	0	0.0297264064	0.378
Q01279	P37173	0.2277121244	2	0	0.0273781903	0.374
Q01279	O95835	0.279589027	3	0	0.0213174748	0.494
Q01279	P11798	0.3671171256	2	0	0.0282628818	0.586
Q01279	Q8K348	0.2370294785	2	0	0.0278890601	0.429
Q01279	Q62406	0.5179300292	3	0	0.0255331412	0.579
Q01279	P39073	0.230774286	2	0	0.026829997	0.523
Q01279	Q9QZ05	0.301855825	3	0	0.0162292052	0.569
Q01279	Q02846	0.4004201681	0	0	0.0208293613	0.557
Q01279	Q00168	0.1730306947	2	0	0.0260089686	0.398
Q01279	O42844	0.3468919323	2	0	0.0268427518	0.511
Q01279	Q9H2X6	0.2743498747	3	0	0.018898343	0.552
Q01279	Q92824	0.0925352597	0	0	0.0197993147	0.318
Q01279	Q9QZR5	0.2106550131	3	0	0.0188941124	0.372
Q01279	O88904	0.3809574341	3	0	0.0187810384	0.582
Q01279	Q9ERH7	0.2423484025	3	0	0.018061291	0.53
Q01279	P54199	0.1745100667	2	0	0.0222762909	0.422
Q01279	Q04592	0.1776315789	0	0.2	0.0122049899	0.39
Q01279	A2ASS6	0.1777430202	3	0	0.0015431507	0.39
Q01279	P50582	0.1611826055	3	0	0.0213124624	0.43
Q01279	P10676	0.1689014119	3	0.2	0.0132590315	0.414
Q01279	Q8WZ42	0.3269295079	3	0	0.001483318	0.53
Q01279	P09958	0.1473457744	0	0	0.0144662544	0.378
Q64604	P08575	0.2844901643	4	0.6666667	0.1273974739	0.515
Q64604	P04157	0.3618089354	4	0.6666667	0.1297916335	0.568
Q64604	P06800	0.1989572235	4	0.33333334	0.1249206349	0.379
Q64604	P29351	0.3159139856	4	0.25	0.0803340624	0.57
Q64604	Q8WZ42	0.1751430599	0	0.2857143	0.005110803	0.367
Q64604	A2ASS6	0.1773771707	0	0.33333334	0.0049113684	0.436
Q64604	Q61006	0.1155873131	0	0.2	0.0394213382	0.332
Q64604	Q61851	0.3447951111	0	0.2	0.0234191594	0.61
Q64604	Q8CBF3	0.079762055	0	0.16666667	0.0192970245	0.269
Q64604	Q5PQU0	0.2892401104	0	0.2	0.0176344416	0.585
Q64604	Q8C139	0.1227572258	0	0.33333334	0.0245803887	0.37
Q64604	P06213	0.1996981625	0	0.16666667	0.0138238916	0.513
Q64604	P17948	0.2095340285	0	0.2	0.0153158706	0.49
Q64604	P08069	0.2405863023	0	0.16666667	0.0147220047	0.61
Q64604	Q9P7H1	0.2760561045	4	0	0.0187447346	0.495
Q64604	Q1LWJ4	0.1180456972	0	0.16666667	0.0132628399	0.468
Q64604	Q8C8K9	0.1816193022	0	0	0.0143510376	0.542
Q64604	Q63739	0.2008436669	4	0.33333334	0.0193625689	0.413
Q64604	Q63116	0.231962011	0	0	0.0123098444	0.509
Q64604	Q6QJB8	0.1816193022	0	0	0.0121938418	0.542
Q64604	P05532	0.1816193022	0	0	0.0122616757	0.542
Q64604	Q6QJB7	0.1816193022	0	0	0.0121938418	0.542
Q64604	Q7TS86	0.1816193022	0	0	0.0121895768	0.542
Q64604	Q3ULJ6	0.1816193022	0	0.25	0.013258937	0.542
Q64604	P04629	0.2215114141	0	0	0.0119481495	0.528
Q64604	P09208	0.1574613628	0	0	0.0080143848	0.43
Q64604	P25098	0.2916697383	0	0	0.0108737123	0.548
Q64604	P51841	0.1330021169	0	0	0.0094553959	0.352
Q06504	P07347	0.6214285714	4	1	0.1204572804	0.698
O88904	Q9QZR5	0.4285714286	4	1	0.5810222324	0.6
O88904	Q9H2X6	0.4849207072	4	1	0.5779458964	0.666
O88904	Q9ERH7	0.5347802486	4	1	0.3686902379	0.691
O88904	Q13627	0.1575543798	3	1	0.133427762	0.361
O88904	Q61214	0.126984127	3	1	0.133427762	0.308
O88904	Q63470	0.126984127	2	1	0.1333899745	0.308
O88904	P47811	0.2382628407	3	1	0.0888580354	0.484
O88904	P24941	0.3184384495	3	1	0.0842029507	0.569
O88904	P49841	0.2936344529	3	1	0.0763538513	0.544
O88904	Q9WV60	0.270894032	3	1	0.0763795424	0.534
O88904	P28482	0.1797148987	3	1	0.0784313725	0.391
O88904	P17157	0.2786327518	3	1	0.0785994998	0.564
O88904	P16892	0.1847518849	3	1	0.0745084512	0.508
O88904	P21965	0.1641152263	4	1	0.0730795377	0.442
O88904	Q00534	0.2088946869	3	1	0.0740218541	0.471
O88904	P11802	0.3160759865	3	1	0.0759124088	0.584
O88904	O14098	0.2553697888	3	1	0.0659235669	0.519
O88904	P04551	0.2473336702	3	1	0.074127384	0.514
O88904	P51166	0.2084087794	3	1	0.073699422	0.498
O88904	Q03114	0.1310214337	3	1	0.0733646549	0.381
O88904	P49615	0.0680990165	3	1	0.0730032526	0.187
O88904	Q02399	0.1456522652	3	1	0.0730032526	0.411
O88904	Q00535	0.1370844849	3	1	0.0722543353	0.42
O88904	P48609	0.1373324892	3	1	0.0707176343	0.377
O88904	P00546	0.2264599791	3	1	0.0697188176	0.504
O88904	P50750	0.3592817059	3	1	0.0613868117	0.67
O88904	O17432	0.2826575893	3	1	0.0606912911	0.602
O88904	P53355	0.3240099644	4	0.33333334	0.0345534116	0.541
O88904	P06493	0.1949204408	3	1	0.0631351351	0.461
O88904	P48734	0.2168436565	3	1	0.0619322278	0.479
O88904	Q00168	0.1907635356	3	0.5	0.0520518359	0.402
O88904	P11798	0.213422594	3	0.5	0.0533949633	0.424
O88904	O42844	0.3068405309	3	1	0.0533946701	0.501
O88904	P06245	0.2074074074	3	1	0.0524509804	0.315
O88904	P40376	0.2802080072	3	1	0.0515275591	0.509
O88904	P06242	0.4217624893	3	1	0.0563325009	0.639
O88904	Q03957	0.3108203912	3	1	0.0496727953	0.582
O88904	P17252	0.2197983929	3	0.25	0.0443665919	0.391
O88904	P06782	0.1917784234	4	0.5	0.046778043	0.491
O88904	Q19266	0.2195245726	3	0.25	0.0461173681	0.378
O88904	P68181	0.1772108844	3	1	0.0524896266	0.312
O88904	P22694	0.2420079095	3	1	0.0524896266	0.501
O88904	P54199	0.1409986019	2	1	0.0420027816	0.362
O88904	Q8WZ42	0.1808790734	4	0.16666667	0.0030932031	0.415
O88904	A2ASS6	0.1693255117	4	0.2	0.0030525709	0.388
O88904	Q02111	0.2703908596	3	0.33333334	0.0394751381	0.485
O88904	Q02156	0.3099760989	3	0.25	0.0404034896	0.521
O88904	P54644	0.2748270248	4	0.33333334	0.0480996068	0.432
O88904	Q10407	0.2491769547	3	1	0.0332333256	0.488
O88904	P00517	0.1141211052	3	0.5	0.0495159059	0.236
O88904	Q8K3H5	0.1388888889	4	0.33333334	0.0262467676	0.329
O88904	P39073	0.4761722498	3	1	0.0436941104	0.665
O88904	P05132	0.1846761845	3	0.5	0.0487720512	0.388
O88904	Q9H1R3	0.1672407009	3	1	0.0433518862	0.324
O88904	P36583	0.3645629404	3	0.25	0.0339141104	0.6
O88904	Q03497	0.238618167	4	0.5	0.0341807129	0.469
O88904	P34947	0.2604907241	3	0.5	0.0391131498	0.496
O88904	Q9Y884	0.2491769547	2	1	0.0471328671	0.436
O88904	A1ZBM0	0.1532228256	3	0.5	0.0336579276	0.369
O88904	P41743	0.1789985015	3	0.25	0.0401190476	0.432
O88904	Q0E915	0.1532228256	3	0.5	0.0340966921	0.369
O88904	Q8NEV4	0.1388888889	4	0.33333334	0.0247643689	0.329
O88904	A1ZBL5	0.1532228256	3	0.33333334	0.0371693866	0.369
O88904	A1ZBM1	0.1532228256	3	0.5	0.0344952233	0.369
O88904	Q9V8V8	0.1532228256	3	0.33333334	0.0365719017	0.369
O88904	A1ZBL7	0.1532228256	3	0.5	0.035009117	0.369
O88904	Q55D99	0.2259428329	4	0.5	0.0445633991	0.47
O88904	A1ZBL9	0.1532228256	3	0.33333334	0.0321454723	0.369
O88904	Q8CIP4	0.2698864921	4	0.33333334	0.0370056497	0.45
O88904	Q96L34	0.2150543162	4	0.33333334	0.037364518	0.414
O88904	P36582	0.2890514799	3	0.2	0.0325685786	0.542
O88904	Q62120	0.2800605067	2	0	0.0291452801	0.536
O88904	P24583	0.2581326302	3	0.2	0.0290917266	0.542
O88904	P08018	0.2713307219	2	1	0.0380869058	0.48
O88904	Q05513	0.2743274022	3	0.25	0.0381261049	0.476
O88904	P34099	0.191741489	3	1	0.043662453	0.392
O88904	O43283	0.2521488679	3	1	0.0333246955	0.5
O88904	Q5R8X7	0.2521488679	3	1	0.0329015544	0.5
O88904	P04629	0.3233692748	3	0	0.0321729671	0.578
O88904	P15442	0.2651273309	4	0.5	0.0233800187	0.475
O88904	O95835	0.3087332926	4	0.33333334	0.0293345829	0.489
O88904	Q8CBF3	0.2018278018	3	0	0.0299439161	0.369
O88904	Q12852	0.2225191361	3	1	0.0350578035	0.486
O88904	P25098	0.2298366326	3	0.33333334	0.0335372636	0.473
O88904	Q9V3I5	0.2787244682	4	0.5	0.0266878115	0.512
O88904	P53668	0.1289743269	4	0.33333334	0.0339948231	0.291
O88904	Q16584	0.2296822252	3	0.5	0.0338718984	0.507
O88904	P12931	0.285111699	2	0	0.0360906863	0.523
